"countrycode","incomegroup","povertyline","gdp"
"VNM","LMC",4.0207125475557,20.783407
"LAO","LMC",2.84549679319919,20.802273
"GTM","LMC",7.37995550389618,21.751711
"SWZ","LMC",3.72097827974138,22.797327
"BOL","LMC",10.4606910858584,23.078623
"SLV","LMC",5.96796586833787,23.161785
"PHL","LMC",3.01363880795993,23.331881
"IRQ","UMC",6.25879937507066,26.917284
"JAM","LMC",5.12183340129864,27.080097
"XKX","LMC",6.35094075548276,28.592243
"NAM","UMC",2.31805977657774,29.213234
"IDN","LMC",2.41274660979496,29.960634
"EGY","LMC",4.15709177939829,30.176676
"DZA","UMC",3.9081240271527,30.351311
"TUN","LMC",6.4614207213842,30.446175
"BTN","LMC",3.49452790323062,30.527328
"BIH","UMC",10.2805203783989,30.621578
"ALB","UMC",4.89755968545299,30.761568
"JOR","UMC",7.92362353434137,31.001377
"FJI","UMC",6.4197575493649,31.313242
"ECU","UMC",5.94043291339131,31.829897
"MDA","LMC",5.91205645429097,31.921417
"UKR","LMC",4.80623221189662,32.523628
"MNG","LMC",5.86890629953467,32.955166
"ARM","UMC",5.12362941377848,33.192162
"LKA","LMC",2.66127044350192,33.66431
"BWA","UMC",2.27363832899214,33.695431
"PER","UMC",5.17825835582271,34.264465
"PRY","UMC",7.82039541975321,34.494656
"CHN","UMC",3.06823855361636,36.709965
"GEO","LMC",3.79560538922892,37.232075
"ZAF","UMC",5.60895051441605,38.468018
"COL","UMC",5.81149493144182,38.825535
"LCA","UMC",6.75779658592412,39.71944
"GAB","UMC",7.16003492170352,41.114639
"MKD","UMC",6.66788576780978,43.031403
"BRA","UMC",7.03685543850083,43.301979
"SRB","UMC",7.2785680597268,45.509636
"DOM","UMC",6.85487042194747,45.850315
"THA","UMC",5.72410405427347,47.734119
"MDV","UMC",7.75376129922602,48.174213
"BLR","UMC",7.67031122643335,50.290688
"LBN","UMC",18.7367417271694,51.307522
"MNE","UMC",8.44014765209813,51.501099
"MEX","UMC",8.95967907503866,54.598347
"CRI","UMC",8.61785038845003,55.7453
"MUS","UMC",6.24145590251106,58.671547
"BGR","UMC",10.8716276633776,58.821751
"URY","HIC",8.29498242169732,63.040752
"ARG","HIC",13.3096908302898,64.649635
"CHL","HIC",7.14896648679304,67.043022
"MYS","UMC",8.002602798495,67.91185
"KAZ","UMC",4.58607829022812,68.117714
"RUS","UMC",9.03623449956344,71.031349
"ROU","UMC",8.72799089695259,74.361427
"HRV","HIC",13.7896213391197,74.394753
"SYC","HIC",12.9294001593177,75.423279
"TUR","UMC",7.6316033543771,76.476212
"GRC","HIC",12.194365481859,78.369484
"LVA","HIC",15.2225080262173,78.557709
"PAN","UMC",9.69917360327922,80.362679
"HUN","HIC",11.1324175894786,80.824989
"POL","HIC",10.0242377474781,82.368507
"SVK","HIC",13.1899253121041,85.367188
"PRT","HIC",15.4081881445807,90.533463
"LTU","HIC",16.5533717637628,92.498276
"EST","HIC",21.4208004188167,92.662834
"SVN","HIC",22.7405132362178,100.0207
"CYP","HIC",23.6159880983747,104.24893
"ISR","HIC",17.0317708594631,104.69722
"CZE","HIC",19.1734405362251,106.36955
"ESP","HIC",22.0963426572835,108.29842
"KOR","HIC",25.0944184603619,109.08126
"ITA","HIC",22.8542236918145,113.92088
"MLT","HIC",26.1341306500961,116.83302
"FRA","HIC",27.3921558169563,122.12895
"GBR","HIC",25.7676439555032,127.04764
"AUS","HIC",33.5645550744445,129.40514
"FIN","HIC",30.8464812722156,130.32913
"CAN","HIC",32.1956202334913,132.37561
"BEL","HIC",30.9058524400338,138.198
"DEU","HIC",29.7701258205506,142.13609
"SWE","HIC",30.7269959350297,142.32317
"AUT","HIC",31.2378548785485,148.41914
"NLD","HIC",31.0981269834529,150.92776
"DNK","HIC",32.249150361384,151.66214
"ISL","HIC",31.0408320795183,152.43422
"USA","HIC",34.7869495743271,164.68399
"NOR","HIC",37.7959489485503,175.48152
"CHE","HIC",36.2791799089099,189.32484
"IRL","HIC",26.4538194137088,213.01152
"LUX","HIC",36.333797840807,315.02972
